date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:22	3067/3067	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Mar%202022%2007:34:51%20GMT	https://retrowavedeer.com/robots.txt		(from )
14:35:22	20049/20049	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/index.html	(from )
14:35:24	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/favicon.ico	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/favicon.ico	(from https://retrowavedeer.com/)
14:35:25	19361/19361	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/apple-touch-icon.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/apple-touch-icon.png	(from https://retrowavedeer.com/)
14:35:26	1885/1885	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/favicon-32x32.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/favicon-32x32.png	(from https://retrowavedeer.com/)
14:35:27	811/811	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/favicon-16x16.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/favicon-16x16.png	(from https://retrowavedeer.com/)
14:35:28	426/426	---M--	200	added ('OK')	application/manifest+json	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/site.webmanifest	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/site.webmanifest	(from https://retrowavedeer.com/)
14:35:29	57/57	---MCZ	302	error ('Found')	text/plain	date:Sat,%2012%20Mar%202022%2007:34:58%20GMT	https://unpkg.com/swiper@7/swiper-bundle.min.css	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/unpkg.com/swiper@7/swiper-bundle.min.5.delayed	(from https://retrowavedeer.com/)
14:35:29	15563/15563	---MCZ	200	added ('OK')	text/css	etag:%223ccb-5Koe10fACH1gYqRziowpfORPwas%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.css	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/unpkg.com/swiper@7.4.1/swiper-bundle.min.css	(from https://retrowavedeer.com/)
14:35:30	22847/22847	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/css/main.css	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/css/main.css	(from https://retrowavedeer.com/)
14:35:32	126579/126579	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/logo.svg	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/logo.svg	(from https://retrowavedeer.com/)
14:35:32	2568/2568	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/small-deer.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/small-deer.png	(from https://retrowavedeer.com/)
14:35:34	24394/24394	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/join-1.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/join-1.png	(from https://retrowavedeer.com/)
14:35:35	21801/21801	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/join-2.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/join-2.png	(from https://retrowavedeer.com/)
14:35:37	3147/3147	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/our-1.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/our-1.png	(from https://retrowavedeer.com/)
14:35:38	1516702/1516702	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/BGH.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/BGH.png	(from https://retrowavedeer.com/)
14:35:38	9742/9742	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/our-2.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/our-2.png	(from https://retrowavedeer.com/)
14:35:40	6313/6313	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/our-3.png	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/our-3.png	(from https://retrowavedeer.com/)
14:35:41	113365/113365	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/deer-1.jpg	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/deer-1.jpg	(from https://retrowavedeer.com/)
14:35:42	186251/186251	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Dec%202021%2012:47:44%20GMT	https://retrowavedeer.com/images/deer-2.jpg	C:/Users/garys/Downloads/httrack/test_ceps_angga1/baru%20neh/retrowavedeer.com/images/deer-2.jpg	(from https://retrowavedeer.com/)
